id,buName,dpId,dpName,profitCenter
425,"Enterprise SD - Other business",99999996,"DP SERVICE PROVIDER",2541
426,"Enterprise Aviation",5010,"EVOLUTION COMMUNICATION GROUP LTD.",3012
427,"Global Government",5010,"EVOLUTION COMMUNICATION GROUP LTD.",4500
428,Maritime,5010,"EVOLUTION COMMUNICATION GROUP LTD.",1300
429,"US Government",5010,"EVOLUTION COMMUNICATION GROUP LTD.",4001
430,"Enterprise SD - Media",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2532
431,"Enterprise SD - Resources",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2533
432,"Enterprise SD - NGO",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2534
433,"Enterprise SD - Mining / Construction",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2535
434,"Enterprise SD - AgriTech",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2536
435,"Enterprise SD - Integrated Transport",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2537
436,"Enterprise SD - FinTech",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2538
437,"Enterprise SD - BYOD",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2539
438,"Enterprise SD - Other business",5010,"EVOLUTION COMMUNICATION GROUP LTD.",2541
439,"Enterprise Aviation",3038,"FSUE MORSVIAZSPUTNIK.",3012
440,"US Government",3038,"FSUE MORSVIAZSPUTNIK.",4020
441,"Enterprise SD - Media",3038,"FSUE MORSVIAZSPUTNIK.",2532
442,"Enterprise SD - Resources",3038,"FSUE MORSVIAZSPUTNIK.",2533
443,"Enterprise SD - NGO",3038,"FSUE MORSVIAZSPUTNIK.",2534
